" ","score","status","future","trend","pressures","resilience"
"Index",84.83,,88.8,,,
"Food Provision",69.74,64.92,74.56,0.29,,
". Fisheries",24.2,22,26.4,0,21.63,82.28
". Mariculture",93.8,87.59,100,0.45,26.39,79.68
"Artisanal Fishing Opportunity",78.44,70.34,86.54,0.01,16.81,83.76
"Natural Products",93.09,86.18,100,0,14.84,85.15
"Carbon Storage",,100,,0.5,,88.71
"Coastal Protection",83.28,74.33,92.23,0.06,27.26,88.71
"Tourism & Recreation",100,100,100,0.01,44.47,89.47
"Coastal Livelihoods & Economies",100,100,100,0.56,,
". Livelihoods",100,100,100,0.11,15.75,54.34
". Economies",100,100,100,1,18.44,78.83
"Sense of Place",68.59,70,67.19,-0.25,,
". Iconic Species",37.19,40,34.37,-0.5,24.45,83.35
". Lasting Special Places",100,100,100,0,31.16,88.34
"Clean Waters",78.75,75.31,82.19,-0.01,60.53,89.47
"Biodiversity",91.57,86.64,96.5,0.04,,
". Habitats",94.6,89.2,100,0.2,16.84,81.85
". Species",88.54,84.08,93,-0.12,25.71,82.22
