"rgn_id","species_code","year","tonnes"
1,298,2003,0
3,298,2003,0
2,298,2003,0
4,298,2003,0
1,298,2004,0
3,298,2004,0
2,298,2004,0
4,298,2004,0
1,298,2005,0
3,298,2005,0
2,298,2005,0
4,298,2005,0
1,298,2006,0
3,298,2006,0
2,298,2006,0
4,298,2006,0
1,298,2007,1
3,298,2007,1
2,298,2007,1
4,298,2007,1
1,298,2008,0
3,298,2008,0
2,298,2008,0
4,298,2008,0
1,298,2009,0
3,298,2009,0
2,298,2009,0
4,298,2009,0
1,298,2010,0
3,298,2010,0
2,298,2010,0
4,298,2010,0
1,298,2011,0
3,298,2011,0
2,298,2011,0
4,298,2011,0
1,298,2012,0
3,298,2012,0
2,298,2012,0
4,298,2012,0
1,299,2003,28549
3,299,2003,28549
2,299,2003,28549
4,299,2003,28549
1,299,2004,12474
3,299,2004,12474
2,299,2004,12474
4,299,2004,12474
1,299,2005,9470
3,299,2005,9470
2,299,2005,9470
4,299,2005,9470
1,299,2006,3670
3,299,2006,3670
2,299,2006,3670
4,299,2006,3670
1,299,2007,10539
3,299,2007,10539
2,299,2007,10539
4,299,2007,10539
1,299,2008,6896
3,299,2008,6896
2,299,2008,6896
4,299,2008,6896
1,299,2009,3600
3,299,2009,3600
2,299,2009,3600
4,299,2009,3600
1,299,2010,4905
3,299,2010,4905
2,299,2010,4905
4,299,2010,4905
1,299,2011,20830
3,299,2011,20830
2,299,2011,20830
4,299,2011,20830
1,299,2012,6933
3,299,2012,6933
2,299,2012,6933
4,299,2012,6933
1,300,2003,0
3,300,2003,0
2,300,2003,0
4,300,2003,0
1,300,2004,0
3,300,2004,0
2,300,2004,0
4,300,2004,0
1,300,2005,0
3,300,2005,0
2,300,2005,0
4,300,2005,0
1,300,2006,0
3,300,2006,0
2,300,2006,0
4,300,2006,0
1,300,2007,0
3,300,2007,0
2,300,2007,0
4,300,2007,0
1,300,2008,0
3,300,2008,0
2,300,2008,0
4,300,2008,0
1,300,2009,0
3,300,2009,0
2,300,2009,0
4,300,2009,0
